---|ARABIC|---	^-
🇨🇦 NFL Network HD	00!0!1/311482
🇨🇦 NFL Network HD	00!0!1/311483
🇨🇦 Bein Sports HD	00!0!1/311484
🇨🇦 Bein Sports HD	00!0!1/311485
🇨🇦 MLB TV HD	00!0!1/311487
🇨🇦 Golf Channel HD	00!0!1/311488
🇨🇦 Fight Network HD	00!0!1/311489
🇨🇦 TSN 1 HD	00!0!1/311490
🇨🇦 TSN 1 HD	00!0!1/311491
🇨🇦 TSN 2 HD	00!0!1/311492
🇨🇦 TSN 2 HD	00!0!1/311493
🇨🇦 TSN 3 HD	00!0!1/311494
🇨🇦 TSN 3 HD	00!0!1/311495
🇨🇦 TSN 4 HD	00!0!1/311496
🇨🇦 TSN 5 HD	00!0!1/311497
🇨🇦 TSN 5 HD	00!0!1/311498
🇨🇦 Sportsnet HD	00!0!1/311499
🇨🇦 Nickelodeon HD	00!0!1/311500
🇨🇦 Family JR HD	00!0!1/311501
🇨🇦 Disney XD HD	00!0!1/311502
🇨🇦 Disney Channel HD	00!0!1/311503
🇨🇦 Disney Junior HD	00!0!1/311504
🇨🇦 A&E HD	00!0!1/311505
🇨🇦 Super Channel Heart & Home	00!0!1/311506
🇨🇦 SPORTSNET WEST HD	00!0!1/311507
🇨🇦 SPORTSNET PACIFIC HD	00!0!1/311508
🇨🇦 SPORTSNET ONTARIO HD	00!0!1/311509
🇨🇦 SPORTSNET ONTARIO SD	00!0!1/311510
🇨🇦 SPORTSNET ONE HD	00!0!1/311511
🇨🇦 SPORTSNET EAST HD	00!0!1/311512
🇨🇦 CBC Calgary HD	00!0!1/311513
🇨🇦 GLOBAL TORONTO CIII HD	00!0!1/311515
🇨🇦 GLOBAL VANCOUVER SD	00!0!1/311516
🇨🇦 GLOBAL VANCOUVER	00!0!1/311517
🇨🇦 Yes TV HD	00!0!1/311518
🇨🇦 TREEHOUSE HD	00!0!1/311520
🇨🇦 YTV HD	00!0!1/311521
🇨🇦 CTV Montreal SD	00!0!1/311522
🇨🇦 SPORTSNET 360 HD	00!0!1/311523
🇨🇦 CHCH HD	00!0!1/311524
🇨🇦 WILD TV SD	00!0!1/311525
🇨🇦 Ami-Télé HD (FR)	00!0!1/311526
🇨🇦 FTO HD (FR)	00!0!1/311527
🇨🇦 Investigation (FR) HD	00!0!1/311528
🇨🇦 ICI RDI HD (FR)	00!0!1/311529
🇨🇦 AddikTV HD (FR)	00!0!1/311530
🇨🇦 Canal D HD (FR)	00!0!1/311531
🇨🇦 Canal Savoir HD (FR)	00!0!1/311532
🇨🇦 CASA HD (FR)	00!0!1/311533
🇨🇦 Evasion HD (FR)	00!0!1/311534
🇨🇦 LCN HD (FR)	00!0!1/311535
🇨🇦 Prise 2 HD (FR)	00!0!1/311537
🇨🇦 RDS HD (FR)	00!0!1/311538
🇨🇦 RDS Info HD (FR)	00!0!1/311539
🇨🇦 Series+ HD (FR)	00!0!1/311540
🇨🇦 Zeste HD (FR)	00!0!1/311542
🇨🇦 TVA HD (FR)	00!0!1/311543
🇨🇦 TV5 Québec HD (FR)	00!0!1/311544
🇨🇦 Télé Québec HD (FR)	00!0!1/311545
🇨🇦 ICI Radio-Canada Télé HD (FR)	00!0!1/311546
🇨🇦 CPAC HD (FR)	00!0!1/311547
🇨🇦 TVA Sports HD (FR)	00!0!1/311548
🇨🇦 TVA Sports 2 HD (FR)	00!0!1/311549
🇨🇦 Super Ecran 2 (FR)	00!0!1/311552
🇨🇦 Super Ecran 3 (FR)	00!0!1/311553
🇨🇦 Super Ecran 4 (FR)	00!0!1/311554
🇨🇦 ICI Télé Québec GEO HD (FR)	00!0!1/311557
🇨🇦 ICI Télé Ottawa-Gatineau GEO HD (FR)	00!0!1/311558
🇨🇦 ICI Télé Alberta GEO HD (FR)	00!0!1/311559
🇨🇦 ICI Télé Ontario GEO HD (FR)	00!0!1/311560
🇨🇦 ICI RDI GEO HD (FR)	00!0!1/311561
🇨🇦 Super Ecran 1 (FR)	00!0!1/311563
🇨🇦 RDS 2 (FR) SD	00!0!1/311564
🇨🇦 Teletoon HD	00!0!1/311566
🇧🇷 WOOHOO HD	00!0!1/319877
🇧🇷 WARNER CHANNEL HD	00!0!1/319878
🇧🇷 Tooncast HD	00!0!1/319879
🇧🇷 TV GAZETA HD	00!0!1/319880
🇧🇷 TNT SERIES HD	00!0!1/319881
🇧🇷 TNT HD	00!0!1/319882
🇧🇷 VIVA HD	00!0!1/319883
🇧🇷 TELECINE TOUCH HD	00!0!1/319884
🇧🇷 TELECINE PREMIUM HD	00!0!1/319885
🇧🇷 TELECINE FUN HD	00!0!1/319886
🇧🇷 TELECINE CULT HD	00!0!1/319887
🇧🇷 TELECINE ACTION HD	00!0!1/319888
🇧🇷 TCM HD	00!0!1/319889
🇧🇷 TBS HD	00!0!1/319890
🇧🇷 SYFY HD	00!0!1/319891
🇧🇷 STUDIO UNIVERSAL HD	00!0!1/319892
🇧🇷 SPORTV 3 HD	00!0!1/319893
🇧🇷 SPORTV 2 HD	00!0!1/319894
🇧🇷 SPORTV 1 HD	00!0!1/319895
🇧🇷 SPACE HD	00!0!1/319896
🇧🇷 SONY HD	00!0!1/319897
🇧🇷 REDE VIDA HD	00!0!1/319899
🇧🇷 REDE TV HD	00!0!1/319900
🇧🇷 RECORD SP HD	00!0!1/319901
🇧🇷 RECORD MG HD	00!0!1/319903
🇧🇷 RECORD CAMPINAS HD	00!0!1/319904
🇧🇷 RECORD HD	00!0!1/319906
🇧🇷 PREMIERE CLUBES HD	00!0!1/319907
🇧🇷 PREMIERE 3 HD	00!0!1/319908
🇧🇷 NATIONAL GEOGRAPHIC HD	00!0!1/319910
🇧🇷 NATGEO WILD HD	00!0!1/319911
🇧🇷 MEGAPIX HD	00!0!1/319912
🇧🇷 MAX UP HD	00!0!1/319913
🇧🇷 LIFETIME HD	00!0!1/319914
🇧🇷 HBO 2 HD	00!0!1/319915
🇧🇷 GLOOB HD	00!0!1/319916
🇧🇷 GLOBO SP HD	00!0!1/319918
🇧🇷 GLOBO INTERNACIONAL HD	00!0!1/319919
🇧🇷 GLOBO INTERNACIONAL HD	00!0!1/319920
🇧🇷 GLOBO EPTV SAO CARLOS HD	00!0!1/319921
🇧🇷 PREMIERE 4 HD	00!0!1/319922
🇧🇷 PREMIERE 2 HD	00!0!1/319923
🇧🇷 PREMIERE 1 HD	00!0!1/319924
🇧🇷 PARAMOUNT CHANNEL HD	00!0!1/319925
🇧🇷 OFF HD	00!0!1/319926
🇧🇷 NICKELODEON HD	00!0!1/319927
🇧🇷 MAX PRIME HD	00!0!1/319928
🇧🇷 HISTORY CHANNEL HD	00!0!1/319930
🇧🇷 HBO HD	00!0!1/319931
🇧🇷 History 2 HD	00!0!1/319932
🇧🇷 GNT HD	00!0!1/319933
🇧🇷 GLOBOSAT HD	00!0!1/319934
🇧🇷 GLOBO BRASILIA HD	00!0!1/319941
🇧🇷 FX HD	00!0!1/319942
🇧🇷 FUTURA HD	00!0!1/319943
🇧🇷 ANIMAL PLANET HD	00!0!1/319945
🇧🇷 ARTE 1 HD	00!0!1/319946
🇧🇷 AXN HD	00!0!1/319947
🇧🇷 BAND CAMPINAS HD	00!0!1/319949
🇧🇷 BAND SPORTS HD	00!0!1/319950
🇧🇷 BIS HD	00!0!1/319951
🇧🇷 CARTOONITO HD	00!0!1/319952
🇧🇷 CANAL BRASIL HD	00!0!1/319953
🇧🇷 CARTOON NETWORK HD	00!0!1/319954
🇧🇷 CINEMAX HD	00!0!1/319955
🇧🇷 COMBATE HD	00!0!1/319956
🇧🇷 COMEDY CENTRAL HD	00!0!1/319957
🇧🇷 CULTURA HD	00!0!1/319958
🇧🇷 CURTA! HD	00!0!1/319959
🇧🇷 DISCOVERY CHANNEL HD	00!0!1/319960
🇧🇷 DISCOVERY CIVILIZATION HD	00!0!1/319961
🇧🇷 DISCOVERY HOME & HEALTH HD	00!0!1/319962
🇧🇷 DISCOVERY KIDS HD	00!0!1/319963
🇧🇷 DISCOVERY SCIENCE HD	00!0!1/319964
🇧🇷 DISCOVERY THEATER HD	00!0!1/319965
🇧🇷 DISCOVERY TLC HD	00!0!1/319966
🇧🇷 DISCOVERY TURBO HD	00!0!1/319967
🇧🇷 DISCOVERY WORLD HD	00!0!1/319968
🇧🇷 DISNEY CHANNEL HD	00!0!1/319969
🇧🇷 DISNEY JR HD	00!0!1/319970
🇧🇷 E! HD	00!0!1/319972
🇧🇷 ESPN HD	00!0!1/319976
🇧🇷 ESPN BRASIL HD	00!0!1/319978
🇧🇷 ESPN 2 HD	00!0!1/319979
🇧🇷 FISH TV HD	00!0!1/319980
🇧🇷 ESPN 4	00!0!1/319985
🇧🇷 FOX SPORTS 2 HD	00!0!1/319986
🇧🇷 LS: PREMIERE 3 HD	00!0!1/319987
🇧🇷 SBT HD	00!0!1/319988
🇨🇱 FOX SPORTS 2 HD BRASIL	00!0!1/319989
🇧🇷 MULTISHOW HD	00!0!1/319990
🇧🇷 Agrotv	00!0!1/319991
SBT PARANA	00!0!1/320615
SBT JANGADEIRO CE	00!0!1/320616
SBT Interior	00!0!1/320617
SBT GO	00!0!1/320618
SBT BRASILIA	00!0!1/320619
SBT ARATU BAHIA	00!0!1/320620
SBT ALTEROSA MG	00!0!1/320621
A&E HD Brasil	00!0!1/320622
BAND NEWS HD	00!0!1/320623
BAND SPORTS HD	00!0!1/320624
DISCOVERY ID HD Brasil	00!0!1/320626
FOX PREMIUM 1 HD	00!0!1/320627
FOX PREMIUM 2 HD	00!0!1/320628
FOX SPORTS HD Brasil	00!0!1/320629
GLOBO NEWS HD	00!0!1/320630
GLOBO RIO HD	00!0!1/320631
HBO FAMILY HD Brasil	00!0!1/320632
HBO SIGNATURE HD Brasil	00!0!1/320633
MAIS GLOBOSAT HD	00!0!1/320634
RECORD NEWS HD	00!0!1/320635
TV BRASIL HD	00!0!1/320636
HBO PLUS HD Brasil	00!0!1/320638
🇫🇷 BEIN SPORTS 3 HD	00!0!1/320640
🇫🇷 BEIN SPORT MAX 4 HD	00!0!1/320641
🇫🇷 BEIN SPORT MAX 5 HD	00!0!1/320642
🇫🇷 BEIN SPORT MAX 9 HD	00!0!1/320644
🇫🇷 EUROSPORT 2	00!0!1/320646
🇫🇷 CANAL FOOT+ 24/24	00!0!1/320647
🇫🇷 EQUIDIA LIFE HD	00!0!1/320648
🇫🇷 Bein Sports 2 FHD	00!0!1/320649
🇫🇷 Bein Sports 9 FHD	00!0!1/320650
🇫🇷 Bein Sport 1 HD	00!0!1/320651
🇫🇷 Bein Sports Max 5 SD	00!0!1/320653
🇫🇷 Bein Sport Max 6 HD	00!0!1/320654
🇫🇷 TF1 HD	00!0!1/320661
🇫🇷 FRANCE 2 ʜᴅ	00!0!1/320663
🇫🇷 FRANCE 3 ʜᴅ	00!0!1/320664
🇫🇷 CANAL+ HD	00!0!1/320665
🇫🇷 CANAL+	00!0!1/320666
🇫🇷 CSTAR ʜᴅ	00!0!1/320669
🇫🇷 TF1 SERIES FILMS ʜᴅ	00!0!1/320673
🇫🇷 TMC ʜᴅ	00!0!1/320679
🇫🇷 NRJ 12 ʜᴅ	00!0!1/320682
🇫🇷 FRANCE 4 ʜᴅ	00!0!1/320683
🇫🇷 ACTION ʜᴅ	00!0!1/320684
🇫🇷 PARAMOUNT CHANNEL HD	00!0!1/320687
🇫🇷 20 Minutes IDF	00!0!1/320713
🇫🇷 BIP TV	00!0!1/320720
🇫🇷 LCI	00!0!1/320744
🇫🇷 I24 NEWS	00!0!1/320745
🇫🇷 CNews HD	00!0!1/320746
🇫🇷 TIJI HD	00!0!1/320750
🇫🇷 BOOMERANG HD	00!0!1/320755
🇫🇷 DISNEY JUNIOR HD	00!0!1/320760
🇫🇷 CARTOON NETWORK HD	00!0!1/320762
🇫🇷 PLANETE+ AVENTURE HD	00!0!1/320776
🇫🇷 DISCOVERY CHANNEL HD	00!0!1/320784
🇫🇷 DISCOVERY CHANNEL	00!0!1/320785
🇫🇷 DISCOVERY SCIENCE HD	00!0!1/320786
🇫🇷 DISCOVERY SCIENCE	00!0!1/320787
🇫🇷 DISCOVERY INVESTIGATION HD	00!0!1/320789
🇫🇷 CRIME DISTRICT HD	00!0!1/320790
🇫🇷 EURONEWS	00!0!1/320815
🇫🇷 CANAL+ SPORT HD	00!0!1/320816
🇫🇷 CANAL+ SPORT 360	00!0!1/320818
🇫🇷 CANAL+ SPORT 360 HD	00!0!1/320819
🇫🇷 CANAL+ FOOT	00!0!1/320820
🇫🇷 CANAL+ FORMULE 1 HD	00!0!1/320822
🇫🇷 CANAL+ GRAND ECRAN	00!0!1/320823
🇫🇷 CANAL+ KIDS	00!0!1/320824
🇫🇷 INFOSPORT+ HD	00!0!1/320825
🇫🇷 L'EQUIPE 21	00!0!1/320827
🇫🇷 L'EQUIPE LIVE 2	00!0!1/320828
🇫🇷 L'EQUIPE LIVE 1	00!0!1/320829
🇫🇷 EUROSPORT 1 HD	00!0!1/320830
🇫🇷 CANAL+ SPORT 2	00!0!1/320832
🇫🇷 CANAL+ SPORT 5	00!0!1/320833
🇫🇷 FOOT+ 24/24	00!0!1/320834
🇫🇷 MOTORSPORT TV	00!0!1/320835
🇫🇷 EQUIDIA LIVE	00!0!1/320836
🇫🇷 AUTOMOTO	00!0!1/320837
🇫🇷 BEIN SPORTS 1 HD	00!0!1/320848
🇫🇷 BEIN SPORTS 1	00!0!1/320849
🇫🇷 BEIN SPORTS 2 HD	00!0!1/320850
🇫🇷 BEIN SPORTS 3 HD	00!0!1/320851
🇫🇷 BEIN SPORTS 1 FRENCH	00!0!1/320857
🇫🇷 BEIN SPORTS 2 FRENCH	00!0!1/320858
🇫🇷 Rakuten TV Films Drames	00!0!1/320874
🇫🇷 Rakuten Comedy Movies France	00!0!1/320875
🇫🇷 Dragon Ball Super FHD	00!0!1/320876
🇫🇷 MULTISPORT 1 HD	00!0!1/320885
🇫🇷 24/24 UFC fight	00!0!1/320886
🇫🇷 INFOSPORT	00!0!1/320898
🇫🇷 L'EQUIPE 21	00!0!1/320899
🇫🇷 EQUIDIA LIVE	00!0!1/320902
🇫🇷 Bein Sport FR 3 HD	00!0!1/320906
🇫🇷 M6	00!0!1/320916
🇫🇷 6TER	00!0!1/320918
🇫🇷 TFX	00!0!1/320919
🇫🇷 CSTAR	00!0!1/320920
🇫🇷 CHERIE 25	00!0!1/320921
🇫🇷 TMC	00!0!1/320923
🇫🇷 NRJ12	00!0!1/320924
🇫🇷 TF1 SERIES-FILMS	00!0!1/320925
🇫🇷 RTL9	00!0!1/320926
🇫🇷 TV BREIZH	00!0!1/320927
🇫🇷 AB1	00!0!1/320928
🇫🇷 ARTE	00!0!1/320929
🇫🇷 TV5 MONDE	00!0!1/320930
🇫🇷 E! ENTERTAINMENT FR	00!0!1/320931
🇫🇷 DISCOVERY FR HD	00!0!1/320951
🇫🇷 DISCOVERY SCIENCE FR	00!0!1/320952
🇫🇷 NATIONAL GEOGRAPHIC FR	00!0!1/320953
🇫🇷 SCIENCES & VIE	00!0!1/320963
🇫🇷 CRIME DISTRICT	00!0!1/320964
🇫🇷 SEASON HD	00!0!1/320965
🇫🇷 DISNEY JUNIOR FR	00!0!1/320966
🇫🇷 DISNEY CHANNEL FR	00!0!1/320967
🇫🇷 CANAL J	00!0!1/320970
🇫🇷 GULLI HD	00!0!1/320971
🇫🇷 PIWI+	00!0!1/320972
🇫🇷 CARTOON NETWORK	00!0!1/320973
🇫🇷 BOOMERANG FR	00!0!1/320974
🇫🇷 NICKELODEON JUNIOR	00!0!1/320975
🇫🇷 NICKELODEON TEEN	00!0!1/320976
🇫🇷 BET HD	00!0!1/320979
🇫🇷 DISCOVERY INVESTIGATION HD	00!0!1/320988
🇫🇷 NRJ HITS HD	00!0!1/320989
🇫🇷 A+ FR HD	00!0!1/320990
🇫🇷 NOLLYWOOD HD	00!0!1/320991
🇫🇷 CANAL+ SPORT 360	00!0!1/320992
🇫🇷 TF1 HD	00!0!1/320993
🇫🇷 CANAL+ FOOT HD	00!0!1/320994
🇫🇷 FRANCE 4 HD	00!0!1/320995
🇫🇷 CANAL+ GRAND ECRAN HD	00!0!1/320997
FR_BEIN SPORTS MAX 10 HD	00!0!1/321006
FR_BEIN SPORTS MAX 4 HD	00!0!1/321007
FR_BEIN SPORTS MAX 5 HD	00!0!1/321008
FR_BEIN SPORTS MAX 7 HD	00!0!1/321010
FR_BEIN SPORTS MAX 8 HD	00!0!1/321011
FR_BEIN SPORTS MAX 9 HD	00!0!1/321012
🇫🇷 POLAR HD	00!0!1/321022
🇫🇷 PARIS PREMIERE HD	00!0!1/321023
🇫🇷 SÉRIE CLUB HD	00!0!1/321024
🇫🇷 TÉVA HD	00!0!1/321025
🇫🇷 C8 HD	00!0!1/321026
🇫🇷 AB3 HD	00!0!1/321027
🇫🇷 CHASSE & PÊCHE HD	00!0!1/321028
CANAL+ SPORT 2 HD	00!0!1/321038
CANAL+ SPORT 3 HD	00!0!1/321039
CANAL+ SPORT 5 HD	00!0!1/321041
🇫🇷 NOVELAS TV	00!0!1/321042
🇫🇷 TF1 FHD	00!0!1/321046
🇫🇷 M6 FHD	00!0!1/321051
🇫🇷 6ter HD	00!0!1/321052
🇫🇷 TF1 SERIES FILMS HD	00!0!1/321054
🇫🇷 C8	00!0!1/321055
🇫🇷 W9 FHD	00!0!1/321056
🇫🇷 RTL9	00!0!1/321057
🇫🇷 TMC HD	00!0!1/321058
🇫🇷 TMC +1 HD	00!0!1/321059
🇫🇷 C STAR	00!0!1/321060
🇫🇷 AB1 HD	00!0!1/321061
🇫🇷 AB3	00!0!1/321062
🇫🇷 TFX FHD	00!0!1/321063
🇫🇷 EURONEWS FHD	00!0!1/321065
🇫🇷 LCI FHD	00!0!1/321066
🇫🇷 FRANCE INFO FHD	00!0!1/321067
🇫🇷 Canal+ NEWS FHD	00!0!1/321068
🇫🇷 France 24 FHD	00!0!1/321069
🇫🇷 LCP FHD	00!0!1/321070
🇫🇷 TV5 MONDE	00!0!1/321074
🇫🇷 LA CHAINE METEO	00!0!1/321075
🇫🇷 CANAL+	00!0!1/321077
🇫🇷 CANAL+ DECALE	00!0!1/321080
🇫🇷 CANAL+ FAMIZ	00!0!1/321082
🇫🇷 CANAL+ SERIES	00!0!1/321083
🇫🇷 POLAR+	00!0!1/321091
🇫🇷 Paramount Channel	00!0!1/321092
🇫🇷 Warner TV	00!0!1/321094
🇫🇷 DISNEY CHANNEL	00!0!1/321096
🇫🇷 DISNEY XD	00!0!1/321099
🇫🇷 TELETOON +	00!0!1/321100
🇫🇷 TELETOON +1	00!0!1/321101
🇫🇷 TOONAMI	00!0!1/321102
🇫🇷 TIJI	00!0!1/321103
🇫🇷 GULLI	00!0!1/321104
🇫🇷 CARTOON NETWORK HD	00!0!1/321107
🇫🇷 NICKELODEON	00!0!1/321108
🇫🇷 NICKELODEON JUNIOR	00!0!1/321109
🇫🇷 CANAL J	00!0!1/321110
🇫🇷 MANGAS HD	00!0!1/321111
🇫🇷 BOOMERANG	00!0!1/321112
🇫🇷 Game One	00!0!1/321113
🇫🇷 J-ONE	00!0!1/321114
🇫🇷 BOING	00!0!1/321115
🇫🇷 USHUAIA TV	00!0!1/321117
🇫🇷 ANIMAUX	00!0!1/321118
🇫🇷 NATIONAL GEO	00!0!1/321119
🇫🇷 NATIONAL GEO WILD	00!0!1/321120
🇫🇷 PLANETE CI	00!0!1/321121
🇫🇷 PLANETE AE	00!0!1/321122
🇫🇷 PLANETE+	00!0!1/321123
🇫🇷 SCIENCE ET VIE	00!0!1/321124
🇫🇷 HISTOIRE	00!0!1/321125
🇫🇷 DISCOVERY	00!0!1/321128
🇫🇷 DISCOVERY INVESTIGATION	00!0!1/321129
🇫🇷 DISCOVERY SCIENCE	00!0!1/321130
🇫🇷 CRIME DISTRICT	00!0!1/321132
🇫🇷 SEASON	00!0!1/321134
🇫🇷 TREK	00!0!1/321135
🇫🇷 13 EME RUE	00!0!1/321137
🇫🇷 COMEDIE+	00!0!1/321139
🇫🇷 CHERIE 25	00!0!1/321142
🇫🇷 E! ENTERTAINMENT	00!0!1/321143
🇫🇷 PARIS PREMIERE	00!0!1/321144
🇫🇷 TEVA	00!0!1/321145
🇫🇷 SYFY	00!0!1/321147
🇫🇷 CANAL+ SPORT	00!0!1/321150
🇫🇷 CANAL+ SPORT 1	00!0!1/321151
🇫🇷 CANAL+ SPORT 3	00!0!1/321153
🇫🇷 CANAL+ SPORT 4	00!0!1/321154
🇫🇷 CANAL+ SPORT 5	00!0!1/321155
🇫🇷 CANAL+ SPORTS 360	00!0!1/321156
🇫🇷 CANAL+ PREMIER LEAGUE	00!0!1/321157
🇫🇷 DAZN LIGUE⚽ 1 1 ᴴᴰ	00!0!1/321160
🇫🇷 CANAL+ LIVE 3	00!0!1/321164
🇫🇷 CANAL+ LIVE 5	00!0!1/321166
🇫🇷 CANAL+ LIVE 6	00!0!1/321167
🇫🇷 BEIN SPORTS 1	00!0!1/321169
🇫🇷 BEIN SPORTS 2	00!0!1/321170
🇫🇷 BEIN SPORTS 3	00!0!1/321171
🇫🇷 BEIN SPORT MAX 4 FHD	00!0!1/321172
🇫🇷 BEIN SPORT MAX 6 FHD	00!0!1/321174
🇫🇷 INFOSPORT+	00!0!1/321180
🇫🇷 AUTOMOTO LA CHAINE	00!0!1/321183
🇫🇷 L'EQUIPE	00!0!1/321185
🇫🇷 L'EQUIPE 21	00!0!1/321186
🇫🇷 EQUIDIA LIVE	00!0!1/321187
🇫🇷 EUROSPORT 1 HD	00!0!1/321188
🇫🇷 EUROSPORT 2 HD	00!0!1/321189
🇫🇷 M6 MUSIC	00!0!1/321196
🇫🇷 MCM	00!0!1/321197
🇫🇷 MCM TOP	00!0!1/321198
🇫🇷 MTV Club	00!0!1/321201
🇫🇷 MTV HITS	00!0!1/321202
🇫🇷 MUSIC TV	00!0!1/321203
🇫🇷 Info Sport ᴴᴰ	00!0!1/321217
🇫🇷 Equidia Live HD	00!0!1/321219
🇫🇷 Euro Sport 1 ᴴᴰ	00!0!1/321220
🇧🇴 Bolivision HD	00!0!1/321242
🇧🇴 BOLIVIA TV Deportes	00!0!1/321243
🇧🇴 BOLIVIA TV	00!0!1/321244
🇧🇴 ATB	00!0!1/321245
🇧🇴 RTP	00!0!1/321248
🇧🇴 TIGO SPORTS 2 HD OPC 2	00!0!1/321257
🇧🇴 TIGO SPORTS 2 HD	00!0!1/321259
🇧🇴 Gigavision	00!0!1/321266
🇧🇴 Red Uno Santa Cruz	00!0!1/321268
🇧🇴 LS: TIGO SPORTS 1 [Events] HD	00!0!1/321270
🇧🇴 LS: TIGO SPORTS 2 HD	00!0!1/321278
🇧🇴 LS: TIGO SPORTS 2 SD	00!0!1/321280
🇳🇱 Ziggo Sport Tennis	00!0!1/321343
🇳🇱 100% NL TV	00!0!1/321344
🇳🇱 192 TV	00!0!1/321345
🇳🇱 24 KITCHEN	00!0!1/321346
🇳🇱 ANIMAL PLANET	00!0!1/321348
🇳🇱 AT 5	00!0!1/321349
🇳🇱 BABY TV	00!0!1/321350
🇳🇱 BBC FIRST	00!0!1/321351
🇳🇱 CARTOON NETWORK	00!0!1/321352
🇳🇱 Cartoonito	00!0!1/321353
🇳🇱 COMEDY CENTRAL	00!0!1/321355
🇳🇱 COMEDY CENTRAL EXTRA	00!0!1/321356
🇳🇱 CRIME &AMP;	00!0!1/321357
🇳🇱 DANCE TRIPPIN	00!0!1/321358
🇳🇱 DISCOVERY CHANNEL	00!0!1/321359
🇳🇱 DISCOVERY ID	00!0!1/321360
🇳🇱 DISCOVERY SCIENCE	00!0!1/321361
🇳🇱 DISCOVERY WORLD	00!0!1/321362
🇳🇱 DISNEY CHANNEL	00!0!1/321363
🇳🇱 DISNEY XD	00!0!1/321364
🇳🇱 DJAZZ TV	00!0!1/321365
🇳🇱 DUCK TV	00!0!1/321366
🇳🇱 E! ENTERTAINMENT	00!0!1/321367
🇳🇱 ESPN 1	00!0!1/321368
🇳🇱 ESPN 2	00!0!1/321369
🇳🇱 ESPN 3	00!0!1/321370
🇳🇱 ESPN 4	00!0!1/321371
🇳🇱 EUROSPORT 1	00!0!1/321372
🇳🇱 EUROSPORT 2	00!0!1/321373
🇳🇱 EX SPORT	00!0!1/321374
🇳🇱 FAMILY 7	00!0!1/321375
🇳🇱 FILM 1 ACTION	00!0!1/321376
🇳🇱 FILM 1 DRAMA	00!0!1/321377
🇳🇱 FILM 1 FAMILY	00!0!1/321378
🇳🇱 FILM 1 PREMIERE	00!0!1/321379
🇳🇱 FOX CHANNEL	00!0!1/321380
🇳🇱 FOX SPORTS 1	00!0!1/321381
🇳🇱 FOX SPORTS 2	00!0!1/321382
🇳🇱 FOX SPORTS 3	00!0!1/321383
🇳🇱 FOX SPORTS 4	00!0!1/321384
🇳🇱 HISTORY CHANNEL	00!0!1/321385
🇳🇱 HORSE & COUNTRY	00!0!1/321386
🇳🇱 ICONCERTS	00!0!1/321387
🇳🇱 L1 TV LIMBURG	00!0!1/321388
🇳🇱 LOVE NATURE	00!0!1/321389
🇳🇱 MEZZO	00!0!1/321390
🇳🇱 MTV	00!0!1/321391
🇳🇱 MTV 24 MUSIC	00!0!1/321392
🇳🇱 MTV LIVE	00!0!1/321394
🇳🇱 NAT GEO	00!0!1/321395
🇳🇱 NAT GEO WILD	00!0!1/321396
🇳🇱 NET 5	00!0!1/321397
🇳🇱 NICK JR	00!0!1/321398
🇳🇱 NICK TOONS	00!0!1/321399
🇳🇱 NICKELODEON	00!0!1/321400
🇳🇱 NPO 1	00!0!1/321401
🇳🇱 NPO 1 EXTRA	00!0!1/321402
🇳🇱 NPO 2	00!0!1/321403
🇳🇱 NPO 2 EXTRA	00!0!1/321404
🇳🇱 NPO 3	00!0!1/321405
🇳🇱 NPO NIEUWS	00!0!1/321406
🇳🇱 NPO POLITIEK	00!0!1/321407
🇳🇱 NPO ZAPPELIN EXTRA/HUMOR	00!0!1/321408
🇳🇱 OMROEP BRABANT	00!0!1/321409
🇳🇱 OMROEP FLEVOLAND	00!0!1/321410
🇳🇱 OMROEP GELDERLAND	00!0!1/321412
🇳🇱 Omroep West	00!0!1/321413
🇳🇱 OMROEP ZEELAND	00!0!1/321414
🇳🇱 ONS TV	00!0!1/321415
🇳🇱 OUT	00!0!1/321416
🇳🇱 PEBBLE TV	00!0!1/321417
🇳🇱 RTL 4	00!0!1/321420
🇳🇱 RTL 5	00!0!1/321421
🇳🇱 RTL 7	00!0!1/321422
🇳🇱 RTL 8	00!0!1/321423
🇳🇱 RTL CRIME	00!0!1/321424
🇳🇱 RTL LOUNGE	00!0!1/321425
🇳🇱 RTL TELEKIDS	00!0!1/321426
🇳🇱 RTL Z	00!0!1/321427
🇳🇱 RTV 7	00!0!1/321428
🇳🇱 RTV ARNHEM	00!0!1/321429
🇳🇱 RTV DRENTHE	00!0!1/321430
🇳🇱 RTV MAASTRICHT	00!0!1/321431
🇳🇱 RTV NOORD	00!0!1/321432
🇳🇱 RTV OOST	00!0!1/321433
🇳🇱 RTV Parkstad	00!0!1/321434
🇳🇱 RTV Purmerend	00!0!1/321435
🇳🇱 RTV Rijnmond	00!0!1/321436
🇳🇱 RTV UTRECHT	00!0!1/321437
🇳🇱 RTV Utrecht	00!0!1/321438
🇳🇱 SBS 6	00!0!1/321439
🇳🇱 SBS 9	00!0!1/321440
🇳🇱 SLAM! TV	00!0!1/321441
🇳🇱 SPIKE	00!0!1/321442
🇳🇱 TLC	00!0!1/321443
🇳🇱 TV 538	00!0!1/321444
🇳🇱 TV ORANJE	00!0!1/321445
🇳🇱 Veronica Disney XD	00!0!1/321446
🇳🇱 XITE	00!0!1/321448
🇳🇱 ZIGGO DOCU	00!0!1/321449
